experiment,colorspace,corruption,severity,accuracy,luminosity
exp_lab,lab,impulse_noise,1,0.8608,False
exp_lab,lab,impulse_noise,2,0.7675,False
exp_lab,lab,impulse_noise,3,0.6815,False
exp_lab,lab,impulse_noise,4,0.5218,False
exp_lab,lab,impulse_noise,5,0.3822,False
exp_lab,lab,speckle_noise,1,0.8258,False
exp_lab,lab,speckle_noise,2,0.67,False
exp_lab,lab,speckle_noise,3,0.5956,False
exp_lab,lab,speckle_noise,4,0.4635,False
exp_lab,lab,speckle_noise,5,0.3668,False
exp_lab,lab,defocus_blur,1,0.9243,False
exp_lab,lab,defocus_blur,2,0.9049,False
exp_lab,lab,defocus_blur,3,0.8552,False
exp_lab,lab,defocus_blur,4,0.745,False
exp_lab,lab,defocus_blur,5,0.5385,False
exp_lab,lab,glass_blur,1,0.5968,False
exp_lab,lab,glass_blur,2,0.6089,False
exp_lab,lab,glass_blur,3,0.6345,False
exp_lab,lab,glass_blur,4,0.4943,False
exp_lab,lab,glass_blur,5,0.5282,False
exp_lab,lab,motion_blur,1,0.8692,False
exp_lab,lab,motion_blur,2,0.7779,False
exp_lab,lab,motion_blur,3,0.6887,False
exp_lab,lab,motion_blur,4,0.6893,False
exp_lab,lab,motion_blur,5,0.6142,False
exp_lab,lab,zoom_blur,1,0.8422,False
exp_lab,lab,zoom_blur,2,0.8152,False
exp_lab,lab,zoom_blur,3,0.7545,False
exp_lab,lab,zoom_blur,4,0.6947,False
exp_lab,lab,zoom_blur,5,0.5958,False
exp_lab,lab,gaussian_blur,1,0.9241,False
exp_lab,lab,gaussian_blur,2,0.854,False
exp_lab,lab,gaussian_blur,3,0.7405,False
exp_lab,lab,gaussian_blur,4,0.583,False
exp_lab,lab,gaussian_blur,5,0.3527,False
exp_lab,lab,snow,1,0.871,False
exp_lab,lab,snow,2,0.7703,False
exp_lab,lab,snow,3,0.7992,False
exp_lab,lab,snow,4,0.7679,False
exp_lab,lab,snow,5,0.7117,False
exp_lab,lab,frost,1,0.8809,False
exp_lab,lab,frost,2,0.8166,False
exp_lab,lab,frost,3,0.7241,False
exp_lab,lab,frost,4,0.7029,False
exp_lab,lab,frost,5,0.5954,False
exp_lab,lab,fog,1,0.9195,True
exp_lab,lab,fog,2,0.8991,True
exp_lab,lab,fog,3,0.868,True
exp_lab,lab,fog,4,0.8184,True
exp_lab,lab,fog,5,0.6248,True
exp_lab,lab,brightness,1,0.9244,True
exp_lab,lab,brightness,2,0.9202,True
exp_lab,lab,brightness,3,0.9111,True
exp_lab,lab,brightness,4,0.902,True
exp_lab,lab,brightness,5,0.8711,True
exp_lab,lab,spatter,1,0.901,False
exp_lab,lab,spatter,2,0.8516,False
exp_lab,lab,spatter,3,0.8105,False
exp_lab,lab,spatter,4,0.8319,False
exp_lab,lab,spatter,5,0.7328,False
exp_lab,lab,contrast,1,0.915,True
exp_lab,lab,contrast,2,0.8611,True
exp_lab,lab,contrast,3,0.8017,True
exp_lab,lab,contrast,4,0.6684,True
exp_lab,lab,contrast,5,0.2651,True
exp_lab,lab,elastic_transform,1,0.8768,False
exp_lab,lab,elastic_transform,2,0.8715,False
exp_lab,lab,elastic_transform,3,0.8333,False
exp_lab,lab,elastic_transform,4,0.7872,False
exp_lab,lab,elastic_transform,5,0.7626,False
exp_lab,lab,pixelate,1,0.9024,False
exp_lab,lab,pixelate,2,0.8561,False
exp_lab,lab,pixelate,3,0.8181,False
exp_lab,lab,pixelate,4,0.6689,False
exp_lab,lab,pixelate,5,0.4987,False
exp_lab,lab,jpeg_compression,1,0.8541,False
exp_lab,lab,jpeg_compression,2,0.8118,False
exp_lab,lab,jpeg_compression,3,0.7986,False
exp_lab,lab,jpeg_compression,4,0.7756,False
exp_lab,lab,jpeg_compression,5,0.7435,False
exp_lab,lab,saturate,1,0.9004,False
exp_lab,lab,saturate,2,0.8743,False
exp_lab,lab,saturate,3,0.9192,False
exp_lab,lab,saturate,4,0.8874,False
exp_lab,lab,saturate,5,0.8437,False
