epoch,train_loss,train_acc,val_loss,val_acc
1,1.4786748041534423,0.45266,1.1498651029586793,0.5934
2,0.9875731938171387,0.64994,0.8605422294616699,0.7055
3,0.7882746946334839,0.72124,0.6772716460227967,0.7659
4,0.6421268830299377,0.77592,0.6093827685832978,0.7932
5,0.5481126504039764,0.80916,0.5123552887916565,0.826
6,0.4772661702299118,0.8362,0.5166026868343353,0.8322
7,0.42572866438388823,0.8514,0.47044293849468233,0.8416
8,0.38635476737976077,0.86566,0.4640006114006042,0.8437
9,0.35102974539518356,0.87876,0.4090460035800934,0.8639
10,0.3165362001156807,0.89002,0.40168264551758764,0.8672
11,0.2867948914861679,0.90062,0.35934205015301707,0.8783
12,0.26443547051668165,0.90816,0.3611501920044422,0.8826
13,0.24223674028635026,0.91544,0.3486521377980709,0.8851
14,0.2207980719947815,0.92292,0.34366796628236773,0.8903
15,0.20644659234285354,0.92778,0.3407771590590477,0.8935
16,0.18873267793238163,0.93298,0.339667948615551,0.8993
17,0.17451702341914177,0.93904,0.3302486693561077,0.9017
18,0.1635746507769823,0.94196,0.3445161028325558,0.8993
19,0.15343506009548902,0.94538,0.3204206894621253,0.9079
20,0.14384136645138262,0.94932,0.3325007968127727,0.9015
21,0.13305699410438537,0.95224,0.33100636114776133,0.9026
22,0.12380431520730258,0.95614,0.34957813560068607,0.9034
23,0.11596504735931754,0.95828,0.34448917178213595,0.9024
24,0.11012859670042992,0.96124,0.32702158293128014,0.9059
25,0.10080956684015692,0.96398,0.3571924116164446,0.9082
26,0.0586474888125807,0.97982,0.3075402239784598,0.9208
27,0.04363156529814005,0.98534,0.30036480032876134,0.9206
28,0.037424402904566376,0.98796,0.3032990425236523,0.9221
29,0.03064352058683522,0.98994,0.3207405857898295,0.9224
30,0.027256061825370416,0.99086,0.3229363326452672,0.9247
31,0.026840328681231478,0.99102,0.3306899936605245,0.9248
32,0.024670892908899112,0.99192,0.32824251173473895,0.926
33,0.023295384093951432,0.99262,0.34285486789904535,0.9233
34,0.020728584068543277,0.99302,0.3412155786525458,0.9253
35,0.01848820617142599,0.99412,0.3518259686216712,0.9242
36,0.017507633208527697,0.9941,0.34889400849081575,0.9243
37,0.017014743164875546,0.99466,0.36337921480461954,0.9241
38,0.016825495314085857,0.99456,0.3578955346683972,0.9278
39,0.014735898655471391,0.99524,0.3525591140628792,0.9282
40,0.014544891106423456,0.9954,0.36634430553913117,0.9271
41,0.014554488567827211,0.99508,0.3744648617565632,0.9245
42,0.012108515892886789,0.99608,0.3725604752706364,0.9271
43,0.012178514475725825,0.9961,0.3785576970017981,0.928
44,0.01299254061735468,0.99542,0.37985799396042713,0.9269
45,0.010830372571356129,0.9966,0.3847972484664759,0.9275
46,0.01092127823302173,0.99666,0.3864174857519567,0.928
47,0.010034579546426248,0.99662,0.3852348706838209,0.929
48,0.009795686322001274,0.99688,0.3854779526103288,0.9294
49,0.009372895630421117,0.9972,0.3907853463186882,0.9275
50,0.009388367493260594,0.99702,0.39519024924049156,0.9295
