experiment,colorspace,corruption,severity,accuracy,luminosity
exp_lab,lab,impulse_noise,1,0.8317,False
exp_lab,lab,impulse_noise,2,0.7831,False
exp_lab,lab,impulse_noise,3,0.7097,False
exp_lab,lab,impulse_noise,4,0.5695,False
exp_lab,lab,impulse_noise,5,0.4188,False
exp_lab,lab,speckle_noise,1,0.8214,False
exp_lab,lab,speckle_noise,2,0.7214,False
exp_lab,lab,speckle_noise,3,0.6707,False
exp_lab,lab,speckle_noise,4,0.569,False
exp_lab,lab,speckle_noise,5,0.4735,False
exp_lab,lab,defocus_blur,1,0.8999,False
exp_lab,lab,defocus_blur,2,0.8895,False
exp_lab,lab,defocus_blur,3,0.8687,False
exp_lab,lab,defocus_blur,4,0.8312,False
exp_lab,lab,defocus_blur,5,0.7495,False
exp_lab,lab,glass_blur,1,0.7375,False
exp_lab,lab,glass_blur,2,0.7433,False
exp_lab,lab,glass_blur,3,0.7568,False
exp_lab,lab,glass_blur,4,0.6412,False
exp_lab,lab,glass_blur,5,0.6606,False
exp_lab,lab,motion_blur,1,0.8687,False
exp_lab,lab,motion_blur,2,0.836,False
exp_lab,lab,motion_blur,3,0.7907,False
exp_lab,lab,motion_blur,4,0.7891,False
exp_lab,lab,motion_blur,5,0.7512,False
exp_lab,lab,zoom_blur,1,0.8573,False
exp_lab,lab,zoom_blur,2,0.8506,False
exp_lab,lab,zoom_blur,3,0.8265,False
exp_lab,lab,zoom_blur,4,0.8082,False
exp_lab,lab,zoom_blur,5,0.7686,False
exp_lab,lab,gaussian_blur,1,0.8996,False
exp_lab,lab,gaussian_blur,2,0.867,False
exp_lab,lab,gaussian_blur,3,0.8318,False
exp_lab,lab,gaussian_blur,4,0.7871,False
exp_lab,lab,gaussian_blur,5,0.6676,False
exp_lab,lab,snow,1,0.8738,False
exp_lab,lab,snow,2,0.8258,False
exp_lab,lab,snow,3,0.8306,False
exp_lab,lab,snow,4,0.7973,False
exp_lab,lab,snow,5,0.774,False
exp_lab,lab,frost,1,0.8754,False
exp_lab,lab,frost,2,0.8429,False
exp_lab,lab,frost,3,0.7975,False
exp_lab,lab,frost,4,0.7941,False
exp_lab,lab,frost,5,0.7453,False
exp_lab,lab,fog,1,0.8976,True
exp_lab,lab,fog,2,0.8836,True
exp_lab,lab,fog,3,0.8667,True
exp_lab,lab,fog,4,0.8303,True
exp_lab,lab,fog,5,0.7095,True
exp_lab,lab,brightness,1,0.8978,True
exp_lab,lab,brightness,2,0.893,True
exp_lab,lab,brightness,3,0.8838,True
exp_lab,lab,brightness,4,0.8758,True
exp_lab,lab,brightness,5,0.8353,True
exp_lab,lab,spatter,1,0.8836,False
exp_lab,lab,spatter,2,0.8585,False
exp_lab,lab,spatter,3,0.8194,False
exp_lab,lab,spatter,4,0.8547,False
exp_lab,lab,spatter,5,0.8121,False
exp_lab,lab,contrast,1,0.8963,True
exp_lab,lab,contrast,2,0.8861,True
exp_lab,lab,contrast,3,0.8762,True
exp_lab,lab,contrast,4,0.8551,True
exp_lab,lab,contrast,5,0.7722,True
exp_lab,lab,elastic_transform,1,0.866,False
exp_lab,lab,elastic_transform,2,0.8636,False
exp_lab,lab,elastic_transform,3,0.8484,False
exp_lab,lab,elastic_transform,4,0.8177,False
exp_lab,lab,elastic_transform,5,0.7911,False
exp_lab,lab,pixelate,1,0.885,False
exp_lab,lab,pixelate,2,0.8694,False
exp_lab,lab,pixelate,3,0.8602,False
exp_lab,lab,pixelate,4,0.8189,False
exp_lab,lab,pixelate,5,0.7283,False
exp_lab,lab,jpeg_compression,1,0.8452,False
exp_lab,lab,jpeg_compression,2,0.8156,False
exp_lab,lab,jpeg_compression,3,0.8008,False
exp_lab,lab,jpeg_compression,4,0.7921,False
exp_lab,lab,jpeg_compression,5,0.7704,False
exp_lab,lab,saturate,1,0.8619,False
exp_lab,lab,saturate,2,0.8011,False
exp_lab,lab,saturate,3,0.8906,False
exp_lab,lab,saturate,4,0.8614,False
exp_lab,lab,saturate,5,0.8202,False
exp_hsv,hsv,gaussian_noise,1,0.8115,False
exp_hsv,hsv,gaussian_noise,2,0.7203,False
exp_hsv,hsv,gaussian_noise,3,0.6229,False
exp_hsv,hsv,gaussian_noise,4,0.5749,False
exp_hsv,hsv,gaussian_noise,5,0.5207,False
exp_hsv,hsv,shot_noise,1,0.8407,False
exp_hsv,hsv,shot_noise,2,0.7927,False
exp_hsv,hsv,shot_noise,3,0.6785,False
exp_hsv,hsv,shot_noise,4,0.6198,False
exp_hsv,hsv,shot_noise,5,0.5393,False
exp_hsv,hsv,impulse_noise,1,0.8344,False
exp_hsv,hsv,impulse_noise,2,0.7737,False
exp_hsv,hsv,impulse_noise,3,0.7038,False
exp_hsv,hsv,impulse_noise,4,0.5419,False
exp_hsv,hsv,impulse_noise,5,0.4088,False
exp_hsv,hsv,speckle_noise,1,0.8366,False
