epoch,train_loss,train_acc,val_loss,val_acc
1,1.4239033175086975,0.47458,1.0219534801483154,0.6293
2,0.9730789983940125,0.6517,0.8356697631835938,0.7036
3,0.7677823082923889,0.7303,0.6615158873081207,0.7649
4,0.6416732226276398,0.77564,0.6173958725452423,0.7902
5,0.5545397817564011,0.808,0.531048092007637,0.818
6,0.4965163537597656,0.82616,0.48174888784885406,0.8357
7,0.435194319024086,0.84746,0.4647966178655624,0.8462
8,0.3981214021539688,0.86268,0.42015905840396883,0.8606
9,0.3607481304359436,0.87484,0.4184147969484329,0.8648
10,0.3283424784517288,0.8857,0.4005490766048431,0.8712
11,0.23197879081964493,0.92004,0.31907278171777725,0.8953
12,0.20656561144143343,0.92834,0.31570954700708387,0.8973
13,0.19124136522173882,0.934,0.3106875986456871,0.8967
14,0.17978933607399464,0.9374,0.3142733586668968,0.8982
15,0.17290834083616732,0.94028,0.3142927149027586,0.9011
16,0.1631971328252554,0.9435,0.31049510059952734,0.9015
17,0.15498273168444635,0.9455,0.3139105384647846,0.9006
18,0.14986962336719037,0.94696,0.3125505396395922,0.9011
19,0.1409401123148203,0.9512,0.30804339955151083,0.9066
20,0.13886500020906328,0.95174,0.31146877419948577,0.9032
