epoch,train_loss,train_acc,val_loss,val_acc
1,1.5183554990005492,0.45078,1.350609463119507,0.5414
2,1.035064045715332,0.63254,0.8775409430503845,0.6976
3,0.8158962912940979,0.71712,0.7047428413391114,0.7569
4,0.690357471036911,0.75974,0.6435034204483032,0.7816
5,0.6075766660785675,0.79188,0.5884416595935822,0.8068
6,0.5445354167079925,0.81466,0.5162900468111038,0.8263
7,0.4889052604961395,0.83108,0.5474190020561218,0.8201
8,0.449845336971283,0.84542,0.4876899103164673,0.8389
9,0.41212352702617644,0.85912,0.4554450695514679,0.8477
10,0.377720708129406,0.87082,0.46072697694301606,0.847
11,0.34837093078374864,0.87926,0.44714239039421083,0.8553
12,0.32609166870355605,0.88688,0.4151551669120789,0.8596
13,0.2986681920707226,0.89514,0.41872430214881895,0.8671
14,0.27671738022208214,0.90398,0.40478730405569074,0.8696
15,0.2571848457467556,0.91172,0.3996948179900646,0.8728
16,0.23757172545433045,0.917,0.421999199333787,0.8711
17,0.22198587186574936,0.9223,0.3951156692326069,0.8791
18,0.20747684798836707,0.92576,0.4035066906452179,0.878
19,0.19650426035761834,0.93022,0.40231482973098753,0.8803
20,0.18476463573873042,0.93468,0.39464548604488375,0.8826
21,0.17149514633476734,0.93988,0.4005207052528858,0.8845
22,0.15759317566633224,0.94444,0.40273741158246995,0.8835
23,0.1482255588245392,0.9481,0.4067681918054819,0.878
24,0.14259148274496197,0.94986,0.43029138108193876,0.8804
25,0.13169841806083918,0.95258,0.4290540746331215,0.884
26,0.07930233346953988,0.97274,0.35556797219514846,0.9026
27,0.060147220900654795,0.98,0.3665086297854781,0.9047
28,0.05514842221654952,0.98036,0.3780741458967328,0.9034
29,0.04816771955046803,0.9843,0.3827306930691004,0.9033
30,0.043179067305624486,0.985,0.39170629711002114,0.9053
31,0.038304699877882376,0.9874,0.39800046101659536,0.9069
32,0.038026377255022524,0.98726,0.3993162417843938,0.9082
33,0.03595860591940582,0.98848,0.4057913848951459,0.9076
34,0.032992087657591325,0.98928,0.41690463064461947,0.9058
35,0.030506917689284308,0.98958,0.42952507554516195,0.9051
36,0.029680551118804143,0.99006,0.4284437239229679,0.9089
37,0.026845973679809832,0.99126,0.4528337489053607,0.905
38,0.024297474143793806,0.99198,0.4522598712436855,0.9028
39,0.023184420677160377,0.99232,0.46199882529228925,0.9052
40,0.02428369072941132,0.99172,0.45285197774283587,0.9067
41,0.023176477292217314,0.99196,0.459650952064991,0.9071
42,0.019897850904364606,0.99344,0.46345995829850434,0.9076
43,0.019801856044185114,0.99366,0.4746907472524792,0.906
44,0.019584880155508872,0.99336,0.4795024482659996,0.9048
45,0.01844396383785177,0.9937,0.4772300452515483,0.9073
46,0.01777007919828873,0.99378,0.4911242704216391,0.905
47,0.01739584062540438,0.99412,0.49535878201574085,0.9051
48,0.0144038365545962,0.99554,0.4923565427981317,0.9051
49,0.015127815462816507,0.9949,0.49645334346964953,0.907
50,0.014220071717018726,0.9951,0.5048278840783983,0.9049
