epoch,train_loss,train_acc,val_loss,val_acc
1,1.823426981239319,0.32676,1.6766024961471557,0.396
2,1.386593120765686,0.49838,1.2751952112197875,0.5545
3,1.1117518136405944,0.60662,1.0806733752250672,0.6198
4,0.9542757309532166,0.66106,0.9674255434036255,0.6597
5,0.8210243209075928,0.71086,0.8711178978919983,0.6967
6,0.7219769569015503,0.74644,0.7648119420528412,0.7426
7,0.6447372944641113,0.77516,0.6313710713863373,0.7794
8,0.585685486536026,0.79674,0.5988612600326538,0.7943
9,0.530559084739685,0.81778,0.6220202937126159,0.7889
10,0.48885747984170913,0.83166,0.5737671844482422,0.8085
11,0.4515078995037079,0.84238,0.5350802278757095,0.8209
12,0.41716899787664413,0.85368,0.5677262244939804,0.8056
13,0.388426844189167,0.86574,0.5662908377170562,0.8104
14,0.3594803473687172,0.87502,0.4847129449605942,0.8377
15,0.3370180489826202,0.8832,0.47759251229763033,0.8394
16,0.3176139255475998,0.89028,0.47684927439689634,0.8443
17,0.29013616933941844,0.8998,0.4596661852240562,0.8504
18,0.27266443906903265,0.90548,0.49063391318321226,0.8456
19,0.2561696808862686,0.91114,0.5110238493084908,0.8376
20,0.2426398359489441,0.91632,0.43202370858192446,0.8594
21,0.2275731707662344,0.92132,0.47125720181465147,0.8524
22,0.21253288747787474,0.92626,0.4514824940681458,0.8593
23,0.19931909704089165,0.93052,0.44315330432653427,0.8627
24,0.188756213670969,0.9337,0.46447950348854067,0.8571
25,0.17539626351594925,0.93796,0.5109755615770817,0.8476
26,0.09562157423175871,0.96738,0.43418300555348394,0.8765
27,0.0818925438438356,0.97242,0.43023854896724223,0.8798
28,0.07375150567799807,0.97422,0.4449205505132675,0.8824
29,0.06688950709257274,0.97682,0.4546115075752139,0.8814
30,0.06260684871925973,0.97852,0.46705060041248797,0.8805
31,0.058119685092903675,0.97998,0.4716663920775056,0.8806
32,0.05327933349566534,0.98226,0.47891713750362397,0.8815
33,0.05140462055430747,0.98322,0.49824182426705954,0.8801
34,0.04956434594092891,0.98324,0.4841830718547106,0.884
35,0.047409077571951785,0.98438,0.5031005914658307,0.8799
36,0.04168655669828877,0.9859,0.50787492226623,0.8832
37,0.03954446674891282,0.98664,0.5266299756109715,0.8813
38,0.03858665070072515,0.9875,0.5275047112911939,0.8813
39,0.036414946418451145,0.9874,0.5345411645706744,0.8832
40,0.03376089918971062,0.98856,0.566651466421783,0.8796
41,0.034202076929910105,0.98822,0.5451746732123196,0.8848
42,0.030135769278095102,0.9895,0.5601836837783456,0.8842
43,0.028499988073070998,0.99018,0.562340906624496,0.8824
44,0.02810123532060068,0.99028,0.5611248044393957,0.8844
45,0.02633807387795765,0.99126,0.5665033358097077,0.8844
46,0.02614659965940751,0.9908,0.5797973920527846,0.8856
47,0.02413163588161813,0.9916,0.5872529712252319,0.8841
48,0.022598558335220443,0.99214,0.5954118966683746,0.8836
49,0.02333291913115303,0.99222,0.6181367287814618,0.8837
50,0.021092939331184606,0.99256,0.6193336132425815,0.8826
