epoch,train_loss,train_acc,val_loss,val_acc
1,1.6338345861816406,0.38938,1.4569573213577272,0.479
2,1.238446076450348,0.54948,1.125452492904663,0.5937
3,1.0170854007911683,0.63774,1.136969914627075,0.6082
4,0.8656954769706726,0.69288,0.9013646085739135,0.6788
5,0.7703996187019349,0.72792,0.9024420606613159,0.6863
6,0.6812537184238434,0.7585,0.7309224750518799,0.7424
7,0.605059024605751,0.78796,0.6297740587234497,0.7872
8,0.5372388894939423,0.81118,0.5569611025810242,0.8052
9,0.47572738007545473,0.83608,0.5343735165596009,0.8161
10,0.4338705140447617,0.8488,0.5640371160268783,0.8102
11,0.39219783262729646,0.86216,0.5227302849531174,0.8272
12,0.35770309777975084,0.87296,0.47289303929805754,0.8404
13,0.3304773604941368,0.88396,0.4868909793138504,0.8368
14,0.30304297684669496,0.8931,0.4341277304768562,0.856
15,0.280588994512558,0.9021,0.4013001792550087,0.8636
16,0.25750220032930377,0.9101,0.43887985594272616,0.8563
17,0.2378097301888466,0.91658,0.4104110425233841,0.865
18,0.22347119724035264,0.92064,0.3990194259405136,0.8724
19,0.20195880161762236,0.92892,0.42447817271947863,0.8653
20,0.19071299834638833,0.93304,0.39311818843483926,0.8784
21,0.17226242533624173,0.93944,0.4633036903381348,0.8606
22,0.16567309685498477,0.94174,0.39559267235696316,0.8744
23,0.15462760995447636,0.94562,0.40334112362861635,0.8735
24,0.13952977896988392,0.95132,0.37637829889059066,0.8838
25,0.13291832171976567,0.95244,0.4460323711931706,0.8684
26,0.0657619368531555,0.97848,0.37099060114324095,0.8977
27,0.051330213432386515,0.98212,0.390931591001153,0.8969
28,0.04381018800230697,0.98506,0.39414022659361364,0.8984
29,0.037287737501841035,0.98726,0.42044568130373955,0.8968
30,0.034518831269098445,0.98844,0.42812065439373254,0.8996
31,0.032843879889491945,0.98892,0.43409256433546545,0.9004
32,0.03040044073300902,0.9898,0.4445743517383933,0.8986
33,0.027033173536290415,0.99084,0.4560925722643733,0.8998
34,0.026761640166155995,0.9909,0.47594558126553893,0.8949
35,0.023444315104059643,0.99208,0.4654688196118921,0.9002
36,0.02272018718819134,0.99248,0.4597707583323121,0.9012
37,0.02039787469652947,0.99318,0.473745006724447,0.9003
38,0.020174769733876455,0.99312,0.48616167731434107,0.8996
39,0.018470623424191725,0.9936,0.5021985643338412,0.9009
40,0.018061201666669222,0.99398,0.5150675151281059,0.8989
41,0.017121717844823144,0.9939,0.5032240646824241,0.9012
42,0.01662009340152479,0.99448,0.5213914852101356,0.8993
43,0.01416064545306901,0.99536,0.5347246200919151,0.8993
44,0.013936988257184858,0.99528,0.5555917379621417,0.8963
45,0.013227010878239525,0.9954,0.5480944539465475,0.901
46,0.014804220928518044,0.99488,0.5432916473657359,0.9011
47,0.011582871651310124,0.99626,0.5583893860735,0.9003
48,0.01106228494073148,0.99634,0.557418296248652,0.9008
49,0.010563643984609516,0.99646,0.5593049188520759,0.9021
50,0.010853699909836288,0.99626,0.5813301803506911,0.8988
