experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.8385,False
baseline_rgb,rgb,gaussian_noise,2,0.7039,False
baseline_rgb,rgb,gaussian_noise,3,0.5298,False
baseline_rgb,rgb,gaussian_noise,4,0.4492,False
baseline_rgb,rgb,gaussian_noise,5,0.3763,False
baseline_rgb,rgb,shot_noise,1,0.876,False
baseline_rgb,rgb,shot_noise,2,0.822,False
baseline_rgb,rgb,shot_noise,3,0.6477,False
baseline_rgb,rgb,shot_noise,4,0.5748,False
baseline_rgb,rgb,shot_noise,5,0.453,False
baseline_rgb,rgb,impulse_noise,1,0.8061,False
baseline_rgb,rgb,impulse_noise,2,0.7079,False
baseline_rgb,rgb,impulse_noise,3,0.6302,False
baseline_rgb,rgb,impulse_noise,4,0.4328,False
baseline_rgb,rgb,impulse_noise,5,0.2662,False
baseline_rgb,rgb,speckle_noise,1,0.8739,False
baseline_rgb,rgb,speckle_noise,2,0.7763,False
baseline_rgb,rgb,speckle_noise,3,0.7154,False
baseline_rgb,rgb,speckle_noise,4,0.596,False
baseline_rgb,rgb,speckle_noise,5,0.4819,False
baseline_rgb,rgb,defocus_blur,1,0.9029,False
baseline_rgb,rgb,defocus_blur,2,0.8822,False
baseline_rgb,rgb,defocus_blur,3,0.839,False
baseline_rgb,rgb,defocus_blur,4,0.7691,False
baseline_rgb,rgb,defocus_blur,5,0.6065,False
baseline_rgb,rgb,glass_blur,1,0.6394,False
baseline_rgb,rgb,glass_blur,2,0.6568,False
baseline_rgb,rgb,glass_blur,3,0.6969,False
baseline_rgb,rgb,glass_blur,4,0.5206,False
baseline_rgb,rgb,glass_blur,5,0.5655,False
baseline_rgb,rgb,motion_blur,1,0.8604,False
baseline_rgb,rgb,motion_blur,2,0.8016,False
baseline_rgb,rgb,motion_blur,3,0.7308,False
baseline_rgb,rgb,motion_blur,4,0.7257,False
baseline_rgb,rgb,motion_blur,5,0.6501,False
baseline_rgb,rgb,zoom_blur,1,0.841,False
baseline_rgb,rgb,zoom_blur,2,0.8204,False
baseline_rgb,rgb,zoom_blur,3,0.7766,False
baseline_rgb,rgb,zoom_blur,4,0.7371,False
