epoch,train_loss,train_acc,val_loss,val_acc
1,1.427210407218933,0.47564,1.7090041452407836,0.4877
2,0.9788248718833923,0.65018,0.9564266296386719,0.6678
3,0.7862242645835876,0.72314,0.7371433198928833,0.7437
4,0.6493233601665497,0.77426,0.5968855108737946,0.7958
5,0.5585085034942627,0.80604,0.571198606300354,0.8041
6,0.4893803319597244,0.82988,0.5544772364616394,0.8148
7,0.4374621995687485,0.85008,0.4653997592687607,0.841
8,0.39534556131839754,0.86204,0.4427238293647766,0.8504
9,0.3573899911189079,0.87716,0.4336206833362579,0.8601
10,0.3262487743926048,0.88798,0.48231660799980164,0.844
11,0.2957379626441002,0.89714,0.3899315265417099,0.8725
12,0.27045805461883543,0.90478,0.3542066254615784,0.8832
13,0.2510196730303764,0.91292,0.3539694499015808,0.8882
14,0.22610745799660684,0.92104,0.36445345121622086,0.8816
15,0.21207933665037154,0.92624,0.3621887822031975,0.8879
16,0.19810701565921307,0.92962,0.36112408854365347,0.8918
17,0.1785205336177349,0.93674,0.3532817435979843,0.8968
18,0.16681357927978038,0.94186,0.34701342822909353,0.8956
19,0.15870254281371832,0.9441,0.3332192008882761,0.8956
20,0.14513239446729423,0.9485,0.3591502625644207,0.897
21,0.1370296568468213,0.9511,0.33131291757673026,0.9037
22,0.1281637048894167,0.95418,0.3460975846290588,0.9003
23,0.11656700513854623,0.95918,0.34883532793819905,0.9018
24,0.11050870361581444,0.96092,0.3436348990559578,0.9031
25,0.10345254390031099,0.96336,0.3491146485686302,0.9034
26,0.057224970530457796,0.98062,0.3012360752105713,0.9208
27,0.042800715742260215,0.98562,0.3024717444457114,0.9214
28,0.03688184273155406,0.9883,0.29963836572915314,0.9232
29,0.03152833126496524,0.98996,0.3160478386059403,0.9238
30,0.02769435753494501,0.9912,0.3160339721739292,0.9242
31,0.025378851374145597,0.99182,0.3303717790901661,0.9226
32,0.023829395508561283,0.99208,0.3319413327738643,0.9212
33,0.02322222740486264,0.9924,0.33254757388532163,0.925
34,0.02067477075320436,0.99364,0.3329412818104029,0.9254
35,0.018256549005876296,0.99402,0.3495152738213539,0.9228
36,0.01797423021883238,0.99416,0.35297576014846566,0.9249
37,0.018289304708356505,0.99436,0.3516595167569816,0.9252
38,0.01581321982414345,0.99472,0.3565165500864387,0.9222
39,0.014314724101428873,0.99544,0.35492824614625423,0.9251
40,0.015236733996986877,0.99514,0.3569285013278946,0.9261
41,0.013060538681288017,0.99566,0.37363377710022033,0.9251
42,0.013116070899118204,0.99556,0.36189177226647734,0.9256
43,0.011221739481426775,0.99652,0.3779963430631906,0.9259
44,0.011757957574748434,0.99612,0.3773848015342839,0.9258
45,0.010866268211679709,0.99676,0.38856697078496216,0.9269
46,0.011057134471266763,0.99642,0.3913280008275062,0.9266
47,0.009673827114296728,0.99686,0.38889604189023375,0.9256
48,0.010087331297226774,0.9967,0.3944795606948435,0.9265
49,0.009404422196214145,0.99688,0.39742717903712765,0.9265
50,0.008889603652789955,0.997,0.40440774289518594,0.9257
