experiment,colorspace,corruption,severity,accuracy,luminosity
exp_lab,lab,impulse_noise,1,0.8506,False
exp_lab,lab,impulse_noise,2,0.7547,False
exp_lab,lab,impulse_noise,3,0.6545,False
exp_lab,lab,impulse_noise,4,0.4397,False
exp_lab,lab,impulse_noise,5,0.276,False
exp_lab,lab,speckle_noise,1,0.8267,False
exp_lab,lab,speckle_noise,2,0.6806,False
exp_lab,lab,speckle_noise,3,0.6053,False
exp_lab,lab,speckle_noise,4,0.4628,False
exp_lab,lab,speckle_noise,5,0.3652,False
exp_lab,lab,defocus_blur,1,0.9222,False
exp_lab,lab,defocus_blur,2,0.9032,False
exp_lab,lab,defocus_blur,3,0.8397,False
exp_lab,lab,defocus_blur,4,0.7137,False
exp_lab,lab,defocus_blur,5,0.4902,False
exp_lab,lab,glass_blur,1,0.5427,False
exp_lab,lab,glass_blur,2,0.562,False
exp_lab,lab,glass_blur,3,0.6042,False
exp_lab,lab,glass_blur,4,0.4451,False
exp_lab,lab,glass_blur,5,0.485,False
exp_lab,lab,motion_blur,1,0.8586,False
exp_lab,lab,motion_blur,2,0.7729,False
exp_lab,lab,motion_blur,3,0.681,False
exp_lab,lab,motion_blur,4,0.6808,False
exp_lab,lab,motion_blur,5,0.6008,False
exp_lab,lab,zoom_blur,1,0.8301,False
exp_lab,lab,zoom_blur,2,0.793,False
exp_lab,lab,zoom_blur,3,0.7295,False
exp_lab,lab,zoom_blur,4,0.6703,False
exp_lab,lab,zoom_blur,5,0.5679,False
exp_lab,lab,gaussian_blur,1,0.9221,False
exp_lab,lab,gaussian_blur,2,0.8373,False
exp_lab,lab,gaussian_blur,3,0.7082,False
exp_lab,lab,gaussian_blur,4,0.5488,False
exp_lab,lab,gaussian_blur,5,0.3169,False
exp_lab,lab,snow,1,0.8632,False
exp_lab,lab,snow,2,0.7631,False
exp_lab,lab,snow,3,0.7913,False
exp_lab,lab,snow,4,0.7606,False
exp_lab,lab,snow,5,0.7179,False
exp_lab,lab,frost,1,0.8802,False
exp_lab,lab,frost,2,0.8286,False
exp_lab,lab,frost,3,0.7335,False
exp_lab,lab,frost,4,0.7212,False
exp_lab,lab,frost,5,0.6102,False
exp_lab,lab,fog,1,0.9204,True
exp_lab,lab,fog,2,0.9058,True
exp_lab,lab,fog,3,0.8792,True
exp_lab,lab,fog,4,0.8397,True
exp_lab,lab,fog,5,0.6705,True
exp_lab,lab,brightness,1,0.9221,True
exp_lab,lab,brightness,2,0.916,True
exp_lab,lab,brightness,3,0.906,True
exp_lab,lab,brightness,4,0.8941,True
exp_lab,lab,brightness,5,0.8644,True
exp_lab,lab,spatter,1,0.9001,False
exp_lab,lab,spatter,2,0.8462,False
exp_lab,lab,spatter,3,0.799,False
exp_lab,lab,spatter,4,0.8331,False
exp_lab,lab,spatter,5,0.7506,False
exp_lab,lab,contrast,1,0.9197,True
exp_lab,lab,contrast,2,0.8685,True
exp_lab,lab,contrast,3,0.815,True
exp_lab,lab,contrast,4,0.6847,True
exp_lab,lab,contrast,5,0.2657,True
exp_lab,lab,elastic_transform,1,0.8693,False
exp_lab,lab,elastic_transform,2,0.8657,False
exp_lab,lab,elastic_transform,3,0.8191,False
exp_lab,lab,elastic_transform,4,0.7663,False
exp_lab,lab,elastic_transform,5,0.741,False
exp_lab,lab,pixelate,1,0.9048,False
exp_lab,lab,pixelate,2,0.8595,False
exp_lab,lab,pixelate,3,0.8202,False
exp_lab,lab,pixelate,4,0.6661,False
exp_lab,lab,pixelate,5,0.475,False
exp_lab,lab,jpeg_compression,1,0.856,False
exp_lab,lab,jpeg_compression,2,0.8053,False
exp_lab,lab,jpeg_compression,3,0.7915,False
exp_lab,lab,jpeg_compression,4,0.7663,False
exp_lab,lab,jpeg_compression,5,0.7305,False
exp_lab,lab,saturate,1,0.8964,False
exp_lab,lab,saturate,2,0.866,False
exp_lab,lab,saturate,3,0.916,False
exp_lab,lab,saturate,4,0.8799,False
exp_lab,lab,saturate,5,0.825,False
