epoch,train_loss,train_acc,val_loss,val_acc
1,1.443779505996704,0.4735,1.1109966125488282,0.6175
2,0.9764651351165772,0.65542,0.7961449491500855,0.7223
3,0.7928841959571838,0.72634,0.6867901927471161,0.7697
4,0.6759549670791626,0.76842,0.5953147224903107,0.796
5,0.5941702415466309,0.79522,0.543103726696968,0.8145
6,0.5297387093925476,0.81704,0.5161845109462738,0.8203
7,0.47954752032756803,0.83556,0.5130389106273651,0.8238
8,0.4422644901037216,0.84886,0.48265611276626585,0.8333
9,0.4064677364206314,0.86042,0.4589772851228714,0.8443
10,0.37728466679096223,0.87054,0.4543633995294571,0.8455
11,0.3445867972803116,0.88136,0.4292414196014404,0.8571
12,0.3181179832184315,0.88996,0.4218840149641037,0.8587
13,0.30005463853120806,0.8944,0.405354402756691,0.8627
14,0.27710492805123327,0.90448,0.4508467100381851,0.8557
15,0.2590829265987873,0.91058,0.39105702043771745,0.8721
16,0.24607793437480927,0.91518,0.40490977039933207,0.8698
17,0.22765422665715218,0.92052,0.40069555894136427,0.8716
18,0.21258255732059478,0.92698,0.3986374134421349,0.8734
19,0.20412447800934314,0.92954,0.38116150997281073,0.8798
20,0.19090356261014937,0.9335,0.4010578776717186,0.8717
21,0.180385027808547,0.93838,0.37634091413021087,0.8814
22,0.17123940588265657,0.93974,0.3996359085559845,0.8814
23,0.1633552963513136,0.94318,0.37732429994344713,0.882
24,0.15423153477609158,0.94592,0.40921701749563216,0.8787
25,0.14378782936453818,0.95006,0.4052716236948967,0.8813
26,0.08827902790650725,0.96958,0.3514448717057705,0.8978
27,0.0737145845849812,0.9751,0.3539933450728655,0.8992
28,0.06366239379942418,0.97808,0.35828559544980526,0.9002
29,0.05594419413097203,0.9803,0.367563356256485,0.9027
30,0.054362407272234556,0.98158,0.3700757246553898,0.9024
31,0.0482255525835976,0.98362,0.38273087922781707,0.9015
32,0.046214030535463246,0.98394,0.38487340799570086,0.9028
33,0.042321020877379927,0.98524,0.39725392945334315,0.9029
34,0.041480438053198156,0.9856,0.3894540343925357,0.9025
35,0.03613724348395597,0.98688,0.4018105023160577,0.9047
36,0.03770414147476666,0.98678,0.4057376512482762,0.9027
37,0.03452254793781787,0.98828,0.4018938935250044,0.9046
38,0.03429125872356817,0.98772,0.40846619143411517,0.9032
39,0.03243150252035353,0.98848,0.4132591283112764,0.9055
40,0.031520348683954216,0.98878,0.4221832935705781,0.9057
41,0.030302225730055945,0.98946,0.4350319824546576,0.9015
42,0.02713574478733353,0.99024,0.43173459425494076,0.9037
43,0.02575439731855644,0.99106,0.4248621839269996,0.9045
44,0.02694139794550836,0.99084,0.428214558210969,0.9043
45,0.025460776452438442,0.9909,0.4372511088073254,0.9034
46,0.022940685772579163,0.9919,0.43778986996933816,0.9039
47,0.023427840533489362,0.99172,0.44946010844372214,0.9037
48,0.023067516155482734,0.99202,0.44461677320450543,0.9044
49,0.022685619449689984,0.99222,0.4423021951898932,0.902
50,0.02161312913365895,0.99224,0.4488810824386775,0.9057
